category,value,total,success,fail,success_rate
build_type,npm,38,30,8,78.95
build_type,none,23,18,5,78.26
build_type,pip,23,13,10,56.52
build_type,go-mod,16,16,0,100.0
build_type,setuptools,16,5,11,31.25
build_type,gradle,14,12,2,85.71
build_type,cmake,14,8,6,57.14
build_type,cargo,13,6,7,46.15
build_type,pnpm,10,7,3,70.0
build_type,make,9,8,1,88.89
build_type,swiftpm,8,5,3,62.5
build_type,composer,7,7,0,100.0
build_type,yarn,7,4,3,57.14
build_type,maven,7,6,1,85.71
build_type,dotnet,7,3,4,42.86
build_type,poetry,6,4,2,66.67
build_type,bundler,5,5,0,100.0
build_type,bazel,4,4,0,100.0
build_type,msbuild,4,1,3,25.0
build_type,bun,4,3,1,75.0
build_type,mix,4,3,1,75.0
build_type,grunt,3,3,0,100.0
build_type,cocoapods,3,3,0,100.0
build_type,zig,3,0,3,0.0
build_type,docker,3,3,0,100.0
build_type,meson,3,1,2,33.33
build_type,flutter,3,1,2,33.33
build_type,scons,2,2,0,100.0
build_type,docker-compose,2,2,0,100.0
build_type,bower,2,2,0,100.0
build_type,sbt,2,0,2,0.0
build_type,luarocks,2,1,1,50.0
build_type,pub,2,1,1,50.0
build_type,cabal,1,0,1,0.0
build_type,xcode,1,1,0,100.0
build_type,gn,1,1,0,100.0
build_type,ant,1,1,0,100.0
build_type,conda,1,0,1,0.0
build_type,waf,1,0,1,0.0
build_type,carthage,1,1,0,100.0
build_type,stack,1,1,0,100.0
build_type,gem,1,1,0,100.0
build_type,leiningen,1,1,0,100.0
build_type,pdm,1,1,0,100.0
build_type,cake,1,0,1,0.0
build_type,rake,1,1,0,100.0
