dim1,dim2,chi2,dof,p_value,cramers_v,n_categories,n_repos,significance
automation_level,build_type,61.7678,27,0.000154,0.5094,28,238,***
dependency_transparency,build_type,57.0282,27,0.000638,0.5023,28,226,***
tooling_complexity,build_type,54.4264,26,0.000897,0.5055,27,213,***
reproducibility_support,domain,43.7126,19,0.001035,0.3987,20,275,**
reproducibility_support,build_type,62.212,32,0.001078,0.5178,33,232,**
dependency_transparency,domain,48.6008,23,0.001401,0.4235,24,271,**
environment_specificity,build_type,57.8154,30,0.001679,0.496,31,235,**
environment_specificity,domain,38.5091,17,0.002091,0.3763,18,272,**
domain,build_type,52.6799,27,0.002199,0.5702,28,162,**
dependency_transparency,reproducibility_support,16.9467,5,0.004602,0.2478,6,276,**
automation_level,dependency_transparency,18.1967,6,0.005759,0.2572,7,275,**
automation_level,domain,28.4462,13,0.007837,0.3283,14,264,**
environment_specificity,dependency_transparency,13.8618,7,0.053695,0.2245,8,275,n.s.
dependency_transparency,tooling_complexity,12.2768,6,0.056071,0.2098,7,279,n.s.
tooling_complexity,domain,25.2682,17,0.088864,0.3065,18,269,n.s.
automation_level,environment_specificity,9.6759,7,0.207694,0.1869,8,277,n.s.
automation_level,reproducibility_support,6.56,5,0.255475,0.1539,6,277,n.s.
automation_level,tooling_complexity,7.4296,6,0.282939,0.1635,7,278,n.s.
environment_specificity,tooling_complexity,6.9346,6,0.326936,0.1588,7,275,n.s.
environment_specificity,reproducibility_support,5.4744,7,0.602278,0.1401,8,279,n.s.
tooling_complexity,reproducibility_support,3.6528,6,0.723537,0.1142,7,280,n.s.
