domain,build_type,total,success,fail,success_rate
data-science,cargo,1,0,1,0.0
data-science,cmake,1,0,1,0.0
data-science,go-mod,1,1,0,100.0
data-science,none,2,0,2,0.0
data-science,pip,4,2,2,50.0
data-science,setuptools,1,1,0,100.0
devops,cargo,1,0,1,0.0
devops,composer,1,1,0,100.0
devops,docker,3,3,0,100.0
devops,docker-compose,2,2,0,100.0
devops,go-mod,5,5,0,100.0
devops,gradle,1,0,1,0.0
devops,maven,1,1,0,100.0
devops,none,1,1,0,100.0
devops,pdm,1,1,0,100.0
devops,pip,1,1,0,100.0
devops,pnpm,1,1,0,100.0
education,cmake,2,2,0,100.0
education,conda,1,0,1,0.0
education,go-mod,1,1,0,100.0
education,grunt,1,1,0,100.0
education,maven,1,1,0,100.0
education,none,3,3,0,100.0
education,npm,2,1,1,50.0
education,pip,1,1,0,100.0
education,poetry,1,0,1,0.0
game-development,cmake,1,1,0,100.0
game-development,gradle,1,0,1,0.0
game-development,make,1,1,0,100.0
game-development,none,2,2,0,100.0
machine-learning,bazel,1,1,0,100.0
machine-learning,cmake,2,1,1,50.0
machine-learning,gn,1,1,0,100.0
machine-learning,none,1,0,1,0.0
machine-learning,pip,13,7,6,53.85
machine-learning,poetry,2,2,0,100.0
machine-learning,sbt,1,0,1,0.0
machine-learning,setuptools,8,1,7,12.5
machine-learning,yarn,1,1,0,100.0
mobile-development,cake,1,0,1,0.0
mobile-development,carthage,1,1,0,100.0
mobile-development,cmake,2,1,1,50.0
mobile-development,cocoapods,3,3,0,100.0
mobile-development,flutter,2,0,2,0.0
mobile-development,gradle,9,9,0,100.0
mobile-development,none,1,1,0,100.0
mobile-development,npm,1,1,0,100.0
mobile-development,pub,2,1,1,50.0
mobile-development,rake,1,1,0,100.0
mobile-development,swiftpm,5,4,1,80.0
mobile-development,yarn,1,1,0,100.0
scientific-computing,cmake,1,1,0,100.0
scientific-computing,poetry,1,0,1,0.0
scientific-computing,setuptools,2,0,2,0.0
security,bazel,1,1,0,100.0
security,cmake,1,0,1,0.0
security,composer,1,1,0,100.0
security,gradle,1,1,0,100.0
security,luarocks,1,1,0,100.0
security,msbuild,2,1,1,50.0
security,none,6,5,1,83.33
security,npm,2,2,0,100.0
security,pip,2,1,1,50.0
security,setuptools,1,1,0,100.0
systems-programming,ant,1,1,0,100.0
systems-programming,cargo,6,3,3,50.0
systems-programming,cmake,4,2,2,50.0
systems-programming,go-mod,3,3,0,100.0
systems-programming,luarocks,1,0,1,0.0
systems-programming,make,6,5,1,83.33
systems-programming,mix,2,1,1,50.0
systems-programming,msbuild,1,0,1,0.0
systems-programming,pip,1,1,0,100.0
systems-programming,scons,2,2,0,100.0
systems-programming,stack,1,1,0,100.0
systems-programming,swiftpm,1,0,1,0.0
systems-programming,waf,1,0,1,0.0
systems-programming,zig,2,0,2,0.0
utilities,bazel,1,1,0,100.0
utilities,bun,3,3,0,100.0
utilities,bundler,2,2,0,100.0
utilities,cabal,1,0,1,0.0
utilities,cargo,5,3,2,60.0
utilities,composer,4,4,0,100.0
utilities,dotnet,7,3,4,42.86
utilities,flutter,1,1,0,100.0
utilities,gem,1,1,0,100.0
utilities,go-mod,3,3,0,100.0
utilities,gradle,1,1,0,100.0
utilities,make,2,2,0,100.0
utilities,maven,3,3,0,100.0
utilities,meson,3,1,2,33.33
utilities,mix,1,1,0,100.0
utilities,msbuild,1,0,1,0.0
utilities,none,5,4,1,80.0
utilities,npm,11,6,5,54.55
utilities,pip,1,0,1,0.0
utilities,pnpm,2,1,1,50.0
utilities,poetry,1,1,0,100.0
utilities,sbt,1,0,1,0.0
utilities,setuptools,2,1,1,50.0
utilities,swiftpm,2,1,1,50.0
utilities,xcode,1,1,0,100.0
utilities,zig,1,0,1,0.0
web-development,bazel,1,1,0,100.0
web-development,bower,2,2,0,100.0
web-development,bun,1,0,1,0.0
web-development,bundler,3,3,0,100.0
web-development,composer,1,1,0,100.0
web-development,go-mod,3,3,0,100.0
web-development,gradle,1,1,0,100.0
web-development,grunt,2,2,0,100.0
web-development,leiningen,1,1,0,100.0
web-development,maven,2,1,1,50.0
web-development,mix,1,1,0,100.0
web-development,none,2,2,0,100.0
web-development,npm,22,20,2,90.91
web-development,pnpm,7,5,2,71.43
web-development,poetry,1,1,0,100.0
web-development,setuptools,2,1,1,50.0
web-development,yarn,5,2,3,40.0
