category,value,n_success,avg_iterations,avg_steps,avg_prompt_tokens_k,avg_duration_min
build_type,npm,30,2.0,22.7,303.9,25.4
build_type,none,18,1.61,19.9,360.4,16.2
build_type,go-mod,16,1.25,10.4,203.0,10.4
build_type,pip,13,1.77,22.8,326.4,33.5
build_type,gradle,12,2.25,34.1,582.9,39.1
build_type,cmake,8,1.5,16.2,240.2,15.0
build_type,make,8,1.75,21.0,305.6,39.9
build_type,composer,7,1.71,33.1,390.9,29.8
build_type,pnpm,7,2.14,30.9,955.8,32.6
build_type,maven,6,1.83,22.0,430.2,19.5
build_type,cargo,6,1.67,32.8,636.8,60.2
build_type,bundler,5,1.2,20.2,297.4,19.0
build_type,setuptools,5,1.4,15.8,134.6,19.7
build_type,swiftpm,5,1.8,25.0,358.6,23.5
build_type,poetry,4,1.75,16.0,258.0,44.7
build_type,yarn,4,1.75,35.0,460.2,56.9
build_type,bazel,4,2.5,47.0,643.9,57.0
build_type,grunt,3,2.33,36.3,745.9,34.0
build_type,dotnet,3,1.67,33.7,622.9,31.8
build_type,cocoapods,3,1.33,17.7,232.3,14.8
build_type,docker,3,1.33,22.0,328.6,24.8
build_type,bun,3,1.0,10.3,208.6,13.3
build_type,mix,3,1.0,13.3,229.4,25.8
build_type,scons,2,2.5,53.0,963.2,71.9
build_type,docker-compose,2,1.0,10.0,79.6,7.3
build_type,bower,2,1.0,8.5,107.1,6.1
build_type,msbuild,1,2.0,35.0,490.6,15.3
build_type,meson,1,1.0,7.0,113.8,8.9
build_type,flutter,1,1.0,18.0,308.5,21.4
build_type,xcode,1,2.0,13.0,274.0,11.5
build_type,gn,1,3.0,53.0,956.3,53.4
build_type,ant,1,3.0,33.0,812.7,31.8
build_type,carthage,1,1.0,7.0,58.9,6.0
build_type,stack,1,2.0,38.0,386.4,68.8
build_type,gem,1,1.0,6.0,117.2,6.7
build_type,leiningen,1,1.0,7.0,140.2,11.0
build_type,luarocks,1,1.0,6.0,59.6,6.2
build_type,pdm,1,1.0,23.0,244.2,31.3
build_type,pub,1,1.0,3.0,21.7,11.8
build_type,rake,1,3.0,58.0,562.6,39.8
