build_type,all_rejected,build_always_failed,no_iterations,no_verify_attempt,smoke_test_failure
setuptools,0,2,0,0,9
pip,0,1,1,0,8
npm,0,4,0,0,4
cargo,0,5,0,0,2
cmake,0,5,0,0,1
none,0,1,0,0,4
dotnet,1,2,0,0,1
zig,0,3,0,0,0
yarn,0,3,0,0,0
pnpm,0,3,0,0,0
swiftpm,0,3,0,0,0
msbuild,1,1,0,1,0
flutter,0,2,0,0,0
gradle,0,2,0,0,0
poetry,0,0,0,0,2
sbt,0,0,0,0,2
meson,0,2,0,0,0
pub,0,0,0,0,1
make,0,1,0,0,0
mix,0,1,0,0,0
waf,0,0,0,0,1
cabal,0,0,0,0,1
luarocks,0,0,0,0,1
maven,0,1,0,0,0
bun,0,1,0,0,0
conda,0,0,0,0,1
cake,0,1,0,0,0
